ident,name,type,latitude,longitude,country code,airport
1A,Williams Harbour,NDB,52.5589,-55.7822,CA,CCA6
1B,Sable Island,NDB,43.9306,-60.0229,CA,
1CD,Nanaimo,DME,49.0572,-123.872,CA,CYCD
1D,Charlottetown,NDB,52.775,-56.124,CA,CCH4
1E,Black Tickle,NDB,53.4667,-55.7874,CA,CCE4
1F,Manta,NDB,47.6306,-65.7447,CA,CZBF
1K,Zama Lake,NDB,59.0233,-118.843,CA,CA-1043
1S,North Of Sixty,NDB,60.3189,-103.129,CA,CKV4
1T,Lloydminster,DME,53.3133,-110.08,CA,CYLL
1U,Masset,NDB,54.0317,-132.127,CA,CZMT
1W,Sandy Bay,NDB,55.5433,-102.276,CA,CJY4
2A,South Indian Lake,NDB,56.7939,-98.9043,CA,CZSN
2B,Springdale,NDB,49.49,-56.1847,CA,CCD2
2F,Bathurst,DME,47.6314,-65.7444,CA,CZBF
2H,Lebel-sur-Quevillon,NDB,49.0372,-77.0208,CA,CSH4
2J,Grand Forks,NDB-DME,49.0175,-118.424,CA,CZGF
2K,Camrose,NDB,53.0322,-112.813,CA,CEQ3
2K,Camrose,DME,53.0328,-112.814,CA,CEQ3
2M,Opapimiskan Lake,NDB,52.6031,-90.3744,CA,CKM8
2Q,Mont-Laurier,NDB,46.6025,-75.4706,CA,CSD4
2S,High Prairie,NDB-DME,55.3956,-116.484,CA,CZHP
2T,Pokemouche,NDB,47.715,-64.8858,CA,CDA4
2U,Mackenzie Bc,NDB-DME,55.3036,-123.137,CA,CYZY
2Z,Diavik,DME,64.5083,-110.307,CA,CDK2
2Z,Diavik,NDB,64.51,-110.307,CA,CDK2
3D,Cumberland House,NDB,53.9572,-102.297,CA,CJT4
3F,Ile-A-La-Crosse,NDB,55.4839,-107.931,CA,CJF3
3H,Consort,NDB,52.0228,-110.746,CA,CFG3
3I,Mobil Sierra,NDB,58.7983,-121.345,CA,
3M,Drayton Valley Industrial,NDB-DME,53.2664,-114.955,CA,CER3
3N,Weyburn,NDB,49.6964,-103.804,CA,CJE3
3P,Muddy Lake,NDB,58.2369,-132.196,CA,
3R,Postville,NDB,54.9075,-59.7969,CA,CCD4
3X,Cluff Lake,NDB,58.3603,-109.525,CA,CJS3
3Y,Donnelly,NDB-DME,55.7106,-117.1,CA,CFM4
3Z,Taber,NDB-DME,49.8258,-112.178,CA,CED5
3Z,Russell,NDB,50.7642,-101.296,CA,CJW5
4A,Koala,NDB-DME,64.6981,-110.609,CA,CYOA
4B,Little Grand Rapids,NDB,52.0442,-95.4619,CA,CZGR
4D,Helmet,NDB,59.4214,-120.789,CA,CBH2
4G,Cross Lake,NDB,54.6108,-97.7664,CA,CYCR
4H,Points North Landing,NDB,58.2692,-104.08,CA,CYNL
4J,Knee Lake,NDB,54.8833,-94.8,CA,CJT3
4K,St Theresa Point,NDB,53.845,-94.8494,CA,CYST
4L,Chatham,NDB,42.3123,-82.0777,CA,CYCK
4M,Red Sucker Lake,NDB,54.1689,-93.5632,CA,CYRS
4N,Oxford House,NDB,54.9286,-95.2825,CA,CYOH
4O,Swan Hills,NDB,54.675,-115.424,CA,CEM5
4Q,Brochet,NDB,57.8861,-101.677,CA,CYBT
4T,Shamattawa,NDB,55.8593,-92.086,CA,CZTM
4V,Lac Brochet,NDB,58.6183,-101.47,CA,CZWH
4W,Kelsey,NDB,56.0375,-96.5128,CA,CZEE
4X,Lac Du Bonnet,NDB,50.2903,-96.0142,CA,CYAX
4Y,Key Lake,NDB,57.2542,-105.622,CA,CYKJ
5B,Summerside,NDB,46.3969,-63.8817,CA,CYSU
5F,Fox Creek,NDB-DME,54.3794,-116.76,CA,CED4
5J,Coronation,NDB,52.0744,-111.448,CA,CYCT
5L,Donaldson,NDB,61.6647,-73.2919,CA,CTP9
5M,Sparwood,NDB,49.8372,-114.884,CA,CYSW
5O,Gods River,NDB,54.8419,-94.0691,CA,CJT3
5Q,Fontanges,NDB,54.56,-71.1711,CA,CTU2
5U,Fort Vermilion,NDB-DME,58.4025,-115.951,CA,CEZ4
5V,Drumheller,NDB-DME,51.5025,-112.751,CA,CEG4
5W,Leaf Rapids,NDB,56.5117,-99.9839,CA,CYLR
5Y,Trenton,NDB,45.6118,-62.6251,CA,CYTN
6E,Grand Manan,NDB,44.7156,-66.8022,CA,CCN2
6F,Port Hope Simpson,NDB,52.5203,-56.2952,CA,CCP4
6G,Red Deer,DME,52.1812,-113.883,CA,CYQF
6K,Vernon Bc,NDB,50.35,-119.26,CA,CYVK
6M,Belleville,NDB,44.195,-77.3083,CA,CNU4
6Q,Cigar Lake,NDB,58.0697,-104.539,CA,CJW7
6X,York Landing,NDB,56.0883,-96.0969,CA,CZAC
6Z,La Loche,NDB,56.4783,-109.401,CA,CJL4
7B,St Thomas,NDB,42.7709,-81.1057,CA,CYQS
7C,Fogo,NDB,49.6616,-54.2451,CA,CDY3
7D,Hudson Bay,NDB,52.8478,-102.187,CA,CYHB
7F,Collins Bay,NDB,58.2283,-103.683,CA,CYKC
7H,Marystown,NDB,47.1383,-55.325,CA,CCC2
7J,Forestburg,NDB,52.5764,-112.086,CA,CA-1023
7L,La Sarre,NDB,48.9106,-79.1789,CA,CSR8
7P,Iroquois Falls,NDB,48.7084,-80.7359,CA,CNE4
7V,Jasper-Hinton,NDB,53.3211,-117.755,CA,CEC4
8A,Carlyle,NDB,49.6456,-102.281,CA,CJQ3
8C,Fairview,NDB-DME,56.0756,-118.441,CA,CEB5
8F,Debert,NDB,45.422,-63.4596,CA,CCQ3
8G,Stettler,NDB-DME,52.3083,-112.754,CA,CEJ3
8H,St Paul,NDB,53.9919,-111.391,CA,CEW3
8J,Provost,NDB,52.3328,-110.273,CA,CEH6
8J,Provost,DME,52.3336,-110.273,CA,CEH6
8K,Valleyview,NDB,55.0344,-117.289,CA,CEL5
8M,Elk Point,NDB-DME,53.8903,-110.768,CA,CEJ6
8N,Edson,NDB-DME,53.5808,-116.455,CA,CYET
9A,Hanna,NDB,51.6278,-111.901,CA,CEL4
9G,Sundre,NDB,51.78,-114.683,CA,CFN7
9H,La Grande 3,NDB,53.5738,-76.2008,CA,CYAD
9Q,Amos,NDB,48.5576,-78.2431,CA,CYEY
9S,Powell River Bc,DME,49.8356,-124.499,CA,CYPW
9X,Brooks,NDB-DME,50.6322,-111.922,CA,CYBP
9Y,Pincher Creek,NDB,49.5233,-113.999,CA,CZPC
9Z,Westlock,NDB-DME,54.1431,-113.748,CA,CES4
A,Ministro Pistarini,NDB,-34.8416,-58.5224,AR,
A,Reconquista,NDB,-29.211,-59.7076,AR,
A,Tartagal,NDB,-22.6359,-63.7957,AR,
A,Habana,NDB,22.9738,-82.4322,CU,
A,Almaza,NDB,30.074,31.3594,EG,HEAZ
A,Baku/Bina,NDB,40.445,50.0633,AZ,
A,Almaty,NDB,43.3686,77.0739,KZ,
A,Baneasa East,NDB,44.5103,26.1369,RO,
