Country Code,Country Name,IDENT,LAT,LON
HT,Haiti,011AT,18.4498,-71.88626
UK,United Kingdom,03MCT,55.13667,-7.19139
CA,Canada,04THT,73.14778,-68.68306
HT,Haiti,068AT,18.38199,-71.93305
DE,Germany,06TRA,47.73333,8.28333
CA,Canada,08YBK,63.75128,-100.00069
MX,Mexico,16DEL,30.84011,-105.38086
CA,Canada,16YYQ,60.77426,-99.99924
HT,Haiti,186AT,18.63972,-72.1039
FR,France,20SAU,45.34778,2.49972
FR,France,21SAU,45.04056,2.62278
JP,Japan,247PQ,33.75,165.0
UK,United Kingdom,24DUB,55.08389,-8.57389
ZM,Zambia,24VLS,-15.18667,28.82556
JP,Japan,251PQ,35.53523,149.99596
ZM,Zambia,25VLS,-15.61694,28.10778
UK,United Kingdom,26DUB,55.17083,-8.46167
ZM,Zambia,27VLS,-14.97306,28.7075
IL,Israel,31BSA,31.10781,35.28687
UK,United Kingdom,31MCT,55.36556,-7.90472
FR,France,31PAS,45.76222,6.42806
CA,Canada,32YZF,61.75016,-110.00117
PT,Portugal,4016N,40.0,-16.0
PT,Portugal,4514N,45.0,-14.0
CA,Canada,4850N,48.0,-50.0
CA,Canada,4950N,49.0,-50.0
CA,Canada,5050N,50.0,-50.0
IE,Ireland,5110N,51.0,-10.0
CA,Canada,5150N,51.0,-50.0
CA,Canada,5250N,52.0,-50.0
CA,Canada,5350N,53.0,-50.0
CA,Canada,53YRT,60.85,-100.0
IE,Ireland,5510N,55.0,-10.0
CA,Canada,5595N,55.0,-95.0
CA,Canada,5850N,58.0,-50.0
CA,Canada,5890N,58.0,-90.0
CA,Canada,5950N,59.0,-50.0
IS,Iceland,6140N,61.0,-40.0
IS,Iceland,6330N,63.0,-30.0
CA,Canada,63YBK,62.24903,-99.9954
CA,Canada,66YBK,65.24824,-89.99933
CA,Canada,6860N,68.0,-60.0
CA,Canada,69YEK,57.70416,-88.34155
CA,Canada,70N05,70.0,-105.0
CA,Canada,7580N,75.0,-80.0
CA,Canada,8083N,80.0,-83.0
JP,Japan,993PQ,34.58333,160.0
NZ,New Zealand,AA001,-37.02608,174.84776
NZ,New Zealand,AA002,-36.95475,174.85522
NZ,New Zealand,AA003,-36.98833,174.87265
NZ,New Zealand,AA005,-36.97743,174.91197
NZ,New Zealand,AA006,-36.97198,174.93163
NZ,New Zealand,AA007,-37.04259,174.67585
NZ,New Zealand,AA009,-37.0532,174.6361
NZ,New Zealand,AA014,-37.21093,174.89745
NZ,New Zealand,AA016,-37.22075,174.79
NZ,New Zealand,AA022,-37.10288,174.57231
NZ,New Zealand,AA024,-37.03827,174.54635
NZ,New Zealand,AA025,-37.01821,174.76444
NZ,New Zealand,AA030,-36.82683,174.65885
NZ,New Zealand,AA033,-36.7898,174.7761
NZ,New Zealand,AA042,-36.90255,175.05216
NZ,New Zealand,AA060,-36.96667,175.07989
NZ,New Zealand,AA065,-37.0514,174.646
NZ,New Zealand,AA080,-37.0596,174.6163
NZ,New Zealand,AA141,-37.20973,174.90194
NZ,New Zealand,AA222,-37.10625,174.57448
NZ,New Zealand,AA240,-37.04201,174.54712
NZ,New Zealand,AA331,-36.79035,174.77144
CN,China,AA400,40.49577,116.52293
NZ,New Zealand,AA403,-37.42175,174.81209
NZ,New Zealand,AA405,-36.92643,174.90028
NZ,New Zealand,AA406,-36.87175,174.8775
NZ,New Zealand,AA409,-36.99831,174.8358
NZ,New Zealand,AA415,-37.08551,175.09311
NZ,New Zealand,AA416,-36.79532,175.47984
NZ,New Zealand,AA417,-36.53492,175.22495
NZ,New Zealand,AA418,-36.78547,175.11039
NZ,New Zealand,AA419,-36.8848,175.21136
NZ,New Zealand,AA420,-36.86854,175.20154
NZ,New Zealand,AA421,-36.75384,175.45464
NZ,New Zealand,AA422,-37.14818,175.02261
NZ,New Zealand,AA423,-36.56928,174.80782
NZ,New Zealand,AA424,-36.5862,174.75915
NZ,New Zealand,AA425,-36.83582,175.27394
NZ,New Zealand,AA426,-36.85929,175.28814
NZ,New Zealand,AA428,-36.98886,174.86991
NZ,New Zealand,AA500,-37.0433,174.67576
NZ,New Zealand,AA503,-37.25839,174.87563
NZ,New Zealand,AA506,-37.09576,174.30913
NZ,New Zealand,AA507,-37.4204,174.7701
NZ,New Zealand,AA509,-37.03258,174.71167
NZ,New Zealand,AA511,-37.06589,174.72595
NZ,New Zealand,AA512,-36.99849,174.69706
NZ,New Zealand,AA514,-37.12246,173.89363
CU,Cuba,AADAM,19.82623,-75.0653
CA,Canada,AARAN,47.75167,-52.91361
DE,Germany,AB021,51.18589,14.47929
DE,Germany,AB022,51.17148,14.40318
DE,Germany,AB023,51.22653,14.34076
DE,Germany,AB071,51.23446,14.73811
DE,Germany,AB072,51.30133,14.74983
DE,Germany,AB073,51.16342,14.76363
DE,Germany,AB430,51.15944,14.33979
DE,Germany,AB439,51.24695,14.8053
DE,Germany,AB450,51.099,14.3622
DE,Germany,AB458,51.14314,14.71489
DE,Germany,AB459,51.16699,14.84301
NL,Netherlands (the),ABA02,52.25763,4.77401
NL,Netherlands (the),ABA03,52.24099,4.77241
NL,Netherlands (the),ABA05,52.20776,4.76921
NL,Netherlands (the),ABA11,52.10307,4.75917
NL,Netherlands (the),ABA38,52.22438,4.77081
NL,Netherlands (the),ABA62,52.18782,4.7673
NL,Netherlands (the),ABA93,52.1363,4.76236
AT,Austria,ABABI,48.53857,12.9478
,,ABADA,64.26556,5.29806
NO,Norway,ABADA,64.26562,5.29817
IT,Italy,ABADI,40.75528,18.64167
FR,France,ABADO,45.65583,5.29306
FR,France,ABADU,46.903,-2.45336
BR,Brazil,ABAFT,-20.40967,-47.90867
RU,Russian Federation (the),ABAGO,56.29195,144.23811
IE,Ireland,ABAGU,52.50333,-7.64667
IT,Italy,ABAKO,37.18389,16.66611
PL,Poland,ABAKU,51.67694,19.08139
SE,Sweden,ABALA,66.65819,23.0
,,ABALA,66.65833,23.0
RU,Russian Federation (the),ABALI,55.54536,68.02049
PT,Portugal,ABALO,32.33111,-18.13028
SE,Sweden,ABAMA,57.98664,15.56961
,,ABAMA,57.98667,15.56972
DE,Germany,ABAMI,51.42495,7.2806
,,ABAMI,51.425,7.28056
FR,France,ABAMU,49.39719,-0.25814
GL,Greenland,ABANA,67.46861,-50.96833
UZ,Uzbekistan,ABANI,41.21334,64.90904
DE,Germany,ABANO,54.12916,9.5
NO,Norway,ABANU,70.13332,26.0
,,ABANU,70.13333,26.0
BO,Bolivia (Plurinational State of),ABAPO,-18.86111,-58.30139
VE,Venezuela (Bolivarian Republic of),ABAPO,3.92861,-67.34417
UK,United Kingdom,ABAPO,52.10278,-4.80333
RU,Russian Federation (the),ABARA,61.1836,50.84807
AU,Australia,ABARB,-32.85167,154.935
FR,France,ABARI,47.41639,6.9425
RU,Russian Federation (the),ABARO,52.12339,48.56177
ID,Indonesia,ABASA,-4.94775,107.26103
JP,Japan,ABASA,24.43917,123.25232
BR,Brazil,ABASE,-5.73017,-37.7695
JP,Japan,ABASI,44.00032,144.14275
DE,Germany,ABASO,53.97606,11.43395
AU,Australia,ABASS,-34.58333,150.94333
EU,Eurocontrol,ABASU,68.57889,18.01667
RU,Russian Federation (the),ABATA,70.00066,135.66859
BR,Brazil,ABATE,-14.39117,-58.83717
TN,Tunisia,ABATI,34.82944,10.95944
MA,Morocco,ABATO,30.53722,-8.55306
RO,Romania,ABATU,44.54472,25.67475
LV,Latvia,ABAVA,56.67639,26.54333
DE,Germany,ABAXA,50.76467,7.38583
NO,Norway,ABAXI,66.785,15.87583
SY,Syrian Arab Republic,ABBAS,33.43333,37.725
EU,Eurocontrol,ABBEW,50.50333,-3.47611
AU,Australia,ABBEY,-34.40306,151.09472
MX,Mexico,ABBOT,24.15167,-94.56917
JP,Japan,ABBOT,35.74545,141.08509
UK,United Kingdom,ABBOT,52.01611,0.59944
JP,Japan,ABBRA,26.38051,127.92503
CA,Canada,ABCID,43.03917,-79.32833
CA,Canada,ABCOT,45.04333,-73.63028
UK,United Kingdom,ABD01,57.17882,-2.18059
UK,United Kingdom,ABD04,57.1634,-2.16916
UK,United Kingdom,ABD07,57.08625,-2.11212
IT,Italy,ABDAB,37.88917,10.62861
RU,Russian Federation (the),ABDAD,60.20219,128.72107
RU,Russian Federation (the),ABDAG,69.45407,125.95804
UA,Ukraine,ABDAK,47.29917,35.2925
UK,United Kingdom,ABDAL,51.44611,-1.86333
KZ,Kazakhstan,ABDAM,51.51451,78.2845
TM,Turkmenistan,ABDAN,38.5949,59.36563
DE,Germany,ABDAP,49.99139,7.15694
EU,Eurocontrol,ABDAR,47.19694,35.25583
RO,Romania,ABDER,43.88735,24.5914
EU,Eurocontrol,ABDID,64.4275,42.76361
EU,Eurocontrol,ABDIG,62.32417,5.79167
EU,Eurocontrol,ABDIK,37.68833,41.95528
,,ABDIL,44.1525,5.34194
DE,Germany,ABDIM,53.04251,8.17439
TN,Tunisia,ABDIN,35.80583,11.29
RU,Russian Federation (the),ABDIR,57.52167,60.60833
RO,Romania,ABDIS,44.21143,24.49401
UZ,Uzbekistan,ABDOK,41.28839,71.13751
FR,France,ABDOS,47.66583,2.52972
UK,United Kingdom,ABDUK,51.64278,-3.80028
PK,Pakistan,ABDUL,30.4,67.45
NO,Norway,ABDUL,60.29481,4.87887
KZ,Kazakhstan,ABDUN,46.22701,59.71995
TM,Turkmenistan,ABDUR,38.01324,61.72569
,,ABDUX,43.85833,4.9875
FR,France,ABEAM,47.29333,6.52167
BR,Brazil,ABEAR,-26.43458,-49.65142
KZ,Kazakhstan,ABEBA,44.49932,74.04588
DE,Germany,ABEBO,47.68091,9.91669
UK,United Kingdom,ABEDA,52.32778,1.87111
RU,Russian Federation (the),ABEDO,59.96834,35.83282
RO,Romania,ABEGO,46.09519,23.64316
KZ,Kazakhstan,ABEKA,41.11809,68.74413
TM,Turkmenistan,ABEKO,39.57489,55.89721
BR,Brazil,ABELA,-30.89467,-52.30683
